"quantidade","sexo","estado_civil","valor_minimo_transacoes","valor_maximo_transacoes","valor_medio_transacoes"
"69","F","divorciado","1039.44","4370.8","2024.6688"
"92","M","divorciado","781.27","4605.89","1959.7296"
"308","F","solteiro","777.75","4776.58","2035.2687"
"458","M","solteiro","530.36","4686.93","1978.7189"
"591","F","casado","510.16","4740.94","1707.7339"
"930","M","casado","563.93","4542.69","1723.0211"
